zip_code,lon,lat,city,province
6716AE,5.6296494721913115,52.029396307483964,Ede,Guelders
5384DA,5.529272126549665,51.73177290778734,Heesch,North Brabant
7821CA,6.903362404858262,52.763734423844305,Emmen,Drenthe
5554GM,5.465588136075074,51.34062133511773,Valkenswaard,North Brabant
1911BK,4.717944074766944,52.53007475095604,Uitgeest,North Holland
9502EC,6.966199604116542,52.978821568366044,Stadskanaal,Groningen
1689AR,5.076514292778679,52.6730525005304,Zwaag,North Holland
1422AG,4.833605978365023,52.23923379465295,Uithoorn,North Holland
5232BT,5.33403177473878,51.70923046096596,'s-Hertogenbosch,North Brabant
6851DM,5.923537574464193,51.91569561767268,Huissen,Guelders
9723AX,6.594002206693716,53.216009976214416,Groningen,Groningen
1334HJ,5.282131443071196,52.39558574177158,Almere,Flevoland
7122TL,6.564456972606517,51.92815805228649,Aalten,Guelders
3151RE,4.143197523104031,51.97585753529176,Hoek van Holland,South Holland
3769EE,5.28327135534033,52.11903378686587,Soesterberg,Utrecht
3013AA,4.473378593973317,51.92498132495774,Rotterdam,South Holland
3845MC,5.6145283451189645,52.326492011827796,Harderwijk,Guelders
2671HW,4.211038169475842,52.00350362649825,Naaldwijk,South Holland
6903BB,6.074640360013507,51.94088972609194,Zevenaar,Guelders
1411AT,5.149336906799863,52.30235084476229,Naarden,North Holland
3905NA,5.561905259433574,52.04841899618584,Veenendaal,Utrecht
5145NJ,5.0482704011081605,51.693974555516974,Waalwijk,North Brabant
1951NC,4.661042116877899,52.472061645765784,Velsen-Noord,North Holland
8304BL,5.750478793865657,52.68796750377635,Emmeloord,Flevoland
5482SB,5.382311875949915,51.64310884581342,Schijndel,North Brabant
8121KD,6.111410198175253,52.33322281893725,Olst,Overijssel
8251GM,5.7205964920955,52.53225186847645,Dronten,Flevoland
7005AR,6.295212592199477,51.95525835856972,Doetinchem,Guelders
3214VB,4.252000210152774,51.820251922466795,Zuidland,South Holland
8401JG,6.044249272661848,53.00745365383578,Gorredijk,Friesland
2371EW,4.620710469130607,52.20281245648293,Roelofarendsveen,South Holland
3768EV,5.306878958712849,52.16656679877951,Soest,Utrecht
5751TV,5.802591659491706,51.45910138860634,Deurne,North Brabant
1101AK,4.937356475586158,52.30178570084542,Amsterdam,North Holland
6731SC,5.752084814438793,52.09970372941863,Otterlo,Guelders
9104BN,5.993370806194454,53.29339063095222,Damwâld,Friesland
3772GK,5.573905899656734,52.14010612102768,Barneveld,Guelders
2491BC,4.390699755132565,52.05828454349,'s-Gravenhage,South Holland
2741RA,4.65870734729659,52.025687986931594,Waddinxveen,South Holland
4815PS,4.739698459085161,51.59631879696069,Breda,North Brabant
